推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
112,3~5歲,,小星的大月餅,林珮思,林珮思,黃筱茵,遠見天下文化(小天下),2020-09-01,10909,翻譯,,9789865535193,360
110,0~3歲,,水果海水浴！,石津千尋,山村浩二,林真美,,2020-09-01,109-09,翻譯,美感,9789864403295,
110,0~3歲,,小手變變變,盧揚、波切拉,奧雷基亞,楊雲琦,,2020-09-01,109-09,翻譯,身體動作,9789861899756,
113,3~5歲,,狐狸拔了11顆牙,鄭淑芬,鄭淑芬,,水滴文化,2020-09-01,109-09,本土,社會情緒、認知探索,9789579529624 ,340
114,3~5歲,,這樣公平嗎？,皮帕‧古哈特(Pippa Goodhart),安娜‧多博蒂(Anna Doherty),黃筱茵,典藏藝術家庭(小典藏),2020-09-01,109/09,翻譯,社會情緒、語言溝通、認知探索,9789579057691,300
112/113/114,3~5歲,是,遇到選擇時，你會怎麼做？,五味太郎,五味太郎,游珮芸,小熊出版(讀書共和國),2020-09-01,109/09,翻譯,語言溝通、認知探索,9789865503734,320
112,3~5歲,,猴子撈月,張俊杰,張俊杰,,信誼基金,2020-08-01,10908,翻譯,社會情緒、認知探索,9789861616131,320
111/112,3~5歲,,今天的月亮,張筱琦,張筱琦,,南一書局(親子時堂),2020-08-01,109.08,本土,社會情緒、美感,9789574436675,320
113,3~5歲,,惡龍在哪裡,雷歐・提姆,雷歐・提姆,林敏雅,青林國際,2020-08-01,109-08,翻譯,身體動作、語言溝通、認知探索,9789862744994,299
110/112/113,3~5歲,是,一個像海的地方,林柏廷,林柏廷,,遠流出版,2020-08-01,109-08,本土,認知探索,9789573288480,300
113,3~5歲,,誰的襪子,孫俊,孫俊,,信誼基金,2020-08-01,109-08,翻譯,社會情緒、認知探索、美感,9789861616230 ,280
113/114,0~3歲,,大家來畫月亮,曹俊彥,曹俊彥,,信誼基金,2020-08-01,109/08,本土,身體動作、語言溝通、認知探索,9789861616186 ,200
112,0~3歲,,鼹鼠的禮物,海文．歐瑞,蘇珊．巴蕾,范曉星,和英出版,2020-07-01,10907,翻譯,,9789869883139,320
112/113,3~5歲,,鼴鼠的願望,金祥謹,金祥謹,許延瑜,青林國際,2020-07-01,109-07,翻譯,社會情緒、認知探索、美感,9789862744925,320
112,3~5歲,,柯爾達的鐵線世界,希伯．波思圖瑪,希伯．波思圖瑪,謝佩霓,典藏藝術家庭(小典藏),2020-07-01,10907,翻譯,身體動作、認知探索、美感,9789579057646,300
111,3~5歲,,跨代的對話：請聽我說,林玫伶、 臺北市國語實驗國民小學學生,鄭淑芬、國語實小美術創文社,,國語日報社,2020-07-01,109.07,本土,社會情緒、語言溝通,9789577518521,300
110,3~5歲,,第五個,恩斯特‧揚德,諾爾曼‧容格,高玉菁,三之三文化,2020-07-01,109-07,翻譯,社會情緒,9789865664442,
110,3~5歲,,寶寶好習慣養成系列套書4：安全小常識,田淑現,閔有敬,簡郁璇,,2020-07-01,109-07,翻譯,健康與安全,9789865517144,
110,0~3歲,,阿奇最愛說：不要！,翠絲．寇德羅伊,提姆．沃恩斯,孫昭業,,2020-07-01,109-07,翻譯,社會情緒,9789862488911,
110/111/113,0~3歲,是,小黑熊形狀遊戲書──圓形 三角形 正方形,柏原晃夫,柏原晃夫,上誼編輯部,上誼文化,2020-07-01,109.07,翻譯,認知探索,9789577625779,350
110/112/113,0~3歲,是,在爸爸的背上,瑪麗安．杜布,瑪麗安．杜布,上誼編輯部,上誼文化,2020-07-01,109-07,翻譯,社會情緒,9789577626875,250
