推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
109/110/111,0~3歲,是,嘰咕怪,愛德華．蒙梭,愛德華．蒙梭,周婉湘,上誼文化,2018-06-01,107.06,翻譯,認知探索、美感,9789577626356,300
112,3~5歲,,左先生與右先生,丹尼爾．費爾,塞莉絲特．艾里斯,酪梨壽司,三民書局,2018-05-01,10705,翻譯,,9789571463865,329
112,3~5歲,,形狀國王,小杉早苗,立本倫子,蘇懿禎,小熊出版,2018-05-01,10705,翻譯,,9789578640269,300
109/110/112,3~5歲,是,公園裡有一首詩,米夏‧亞齊,米夏‧亞齊,吳其鴻,,2018-05-01,107-05,翻譯,"語言溝通,認知探索,美感",9789866215728,300
111,3~5歲,,月亮想睡覺,林思辰,林思辰,,信誼基金,2018-04-01,107.04,本土,美感、生活自理,9789861615776,250
107/108/110,0~3歲,,企鵝體操,齋藤槙,齋藤槙,葉依慈,,2018-04-01,107-04,翻譯,"身體動作,健康與安全",9789866215704,320
112,3~5歲,,月球旅行指南：小兔子的月球之旅,PHP研究所,藏澄咲帆,卓文怡,小熊出版,2018-03-01,10703,翻譯,,9789578640177,320
108/110/111,0~3歲,是,今天的月亮好圓,荒井良二,荒井良二,林真美,遠流出版,2018-03-01,107.03,翻譯,認知探索、美感,9789573282280,300
107/109/110/111,0~3歲,是,我只是想要說晚安,瑞秋．伊莎朵拉,瑞秋．伊莎朵拉,黃迺毓,上誼文化,2018-03-01,107.03,翻譯,社會情緒、語言溝通,9789577626332,300
107,3~5歲,,OH．．．我好害怕．．．,劉彤渲,劉彤渲,,小文房,2018-01-01,107,本土,,9789869577465,280
108,3~5歲,,害怕黑夜的大象,馬丁．巴茲塞特,卡特琳娜．西格,林敏雅,水滴文化,2018-01-01,107-06,翻譯,,9789869634021,380
108,0~3歲,,誰說不能往上挖？,丹‧雅卡理諾,丹‧雅卡理諾,李貞慧,,2018-01-01,107-03,翻譯,,9789865730895,320
107/108,0~3歲,,誰來幫我拍拍睡？,約格．穆勒,約格．穆勒,李紫蓉,,2018-01-01,107-01,翻譯,,9789864793327,260
108,0~3歲,,寶貝瑜伽──幼兒的第一本瑜伽書,瑞貝卡．惠特福德,瑪蒂娜．賽爾韋,麥維,,2018-01-01,107-12,翻譯,,9789864401451,260
108,3~5歲,,小小人兒來幫忙──快樂星期天,中川千尋,古寄純嗣,周姚萍,,2018-01-01,107-11,翻譯,,9789862118580,300
108,3~5歲,,"瘋狂的一天：JUNE 29, 1999",大衛威斯納,大衛威斯納,,,2018-01-01,107-09,翻譯,,9789861898636,300
107,0~3歲,,我們來比高,艾米勒賈杜,艾米勒賈杜,賴羽青,,2018-01-01,107,翻譯,,9789861898360,299
107,3~5歲,,小紅母雞,皮耶・德里,瑟西兒‧羽德希吉耶,尉遲秀,,2018-01-01,107,翻譯,,9789579095075,280
108/111/112,3~5歲,是,雪獅,吉姆‧黑爾摩,理查德‧瓊斯,游珮芸,親子天下,2018-01-01,107.04,翻譯,社會情緒,9789579095112,300
108/110/111,3~5歲,是,朱瑞福的游泳課,賴馬,賴馬,,親子天下,2018-01-01,108.07,本土,身體動作、健康與安全,9789579095914,360
108,3~5歲,,美好動物園,李憶婷,李憶婷,,,2018-01-01,107-08,本土,,9789574436088,320
108/111/112,3~5歲,是,討厭的颱風,王春子,王春子,,遠流出版,2018-01-01,107.10,本土,認知探索,9789573283737,380
108/109,3~5歲,,是誰躲在草叢裡,鄭潔文,鄭潔文,,,2018-01-01,107-01,本土,認知探索,9789570850628,330
108,3~5歲,,很久很久以前……大家來過河,維若妮卡‧馬賽諾(V'eronique Massenot),克蕾夢絲‧波列(Cl'emence Pollet),王卉文,,2018-01-01,107-01,翻譯,,9789571463667,299
108,3~5歲,,來自火星的男孩,賽門‧詹姆斯(Simon James),賽門‧詹姆斯(Simon James),黃筱茵,,2018-01-01,107-11,翻譯,,9789571464640,299
108,3~5歲,,香蕉爺爺香蕉奶奶,野志明加(のしさやか),野志明加(のしさやか),米雅,,2018-01-01,107-11,翻譯,,9789571464879,299
111,3~5歲,,蘋果園的12個月,松本猛,中武秀光,陳瀅如,幼獅文化,2017-12-01,106.12,翻譯,認知探索、美感,9789864490974,280
110,3~5歲,,小雪球的夢想,李宰京,李宰京,劉清彥,,2017-12-01,106-12,翻譯,社會情緒,9789865664350,
109,0~3歲,,小小船，小心哦！,五味太郎,五味太郎,李慧娟,,2017-12-01,106-12,翻譯,"社會情緒,語言溝通",9789864401987,250
109,3~5歲,,媽媽的畫像,劉智娟,劉智娟,蘇懿禎,,2017-12-01,106-12,翻譯,"社會情緒,美感",9789863381877,280
111,3~5歲,,時間長或短？,莉亞‧杜凡妮,亞莉安娜‧妲布里妮,陳俊蓉,幼獅文化,2017-11-01,106.11,翻譯,認知探索、語言溝通,9789864490929,280
111,0~3歲,,我喜歡……,安東尼．布朗,安東尼．布朗,余治瑩,維京國際,2017-11-01,106.11,翻譯,認知探索,9789864401635,250
107/108,3~5歲,,獅子補習班,強‧艾吉,強‧艾吉,柯倩華,,2017-11-01,106-11,翻譯,,9789866215667,280
109,0~3歲,,你的心情好嗎？,安東尼．布朗,安東尼．布朗,俞治瑩,,2017-11-01,106-11,翻譯,"社會情緒,語言溝通",9789864401642,250
111,3~5歲,,森林照相館,李時遠,李時遠,許延瑜,青林國際,2017-10-01,106.10,翻譯,社會情緒,9789862743386,280
109,3~5歲,,小鈕扣,小川洋子,岡田千晶,王蘊潔,步步出版,2017-09-01,106-09,翻譯,"社會情緒,語言溝通,認知探索",9789869517720,320
110,3~5歲,,我可以加入你的俱樂部嗎？,約翰．凱利,史蒂芬．拉伯利斯,黃又青,,2017-09-01,106-09,翻譯,"語言溝通,認知探索",9789865876395,
110,3~5歲,,超神奇種子鋪,宮西達也,宮西達也,周姚萍,,2017-09-01,106-09,翻譯,"語言溝通,健康與安全",9789862117439,
107/110,0~3歲,,今天的點心(3D鏡面繪本),渡邉千夏,渡邉千夏,張玲玲,,2017-09-01,106-09,翻譯,"身體動作,認知探索",9789861898094,380
111,3~5歲,,爸爸總是有辦法,娜汀・布罕－柯司莫,奧荷莉・吉耶黑,尉遲秀,親子天下,2017-08-01,106.08,翻譯,社會情緒、語言溝通,9789869498340,300
110,3~5歲,,獅子一起去上學,海倫‧史蒂芬,海倫‧史蒂芬,黃筱茵,,2017-08-01,106-08,翻譯,社會情緒,9789866215636,
110,0~3歲,,水公主：喬琪．巴迪爾的真實故事,蘇珊．維爾德、喬琪．巴迪爾,彼得．雷諾茲,劉清彥,,2017-08-01,106-08,翻譯,"社會情緒,認知探索",9789864001750,
110,3~5歲,,去冒險,哲也,陳美燕,,,2017-08-01,106-08,本土,"社會情緒,認知探索",9789862117309,
109,3~5歲,,紅髮多莉,蔡淨澤,尹盛喆,黃譯嫺、吳羽涵,東雨文化,2017-07-01,106-07,翻譯,社會情緒,9789869481335,280
107.110,0~3歲,,小麗騎三輪車,豐田一彥,豐田一彥,米雅,,2017-07-01,106-07,翻譯,認知探索,9789864792351,300
110/111,0~3歲,,一起玩！,傑茲．阿波羅,傑茲．阿波羅,,上誼文化,2017-07-01,106.07,翻譯,認知探索、身體動作、社會情緒,9789577626141,280
110,0~3歲,,啵！啵！啵！海裡有什麼呢？,笠野裕一譯,笠野裕一譯,米雅,,2017-06-01,106-06,翻譯,認知探索,9789862743287,
111,3~5歲,,奶奶臉上的皺紋,西蒙娜．希洛羅,西蒙娜．希洛羅,黃筱茵,三民書局,2017-05-01,106.05,翻譯,語言溝通,9789571462899,299
110/111,0~3歲,,爸爸再一次：好高、好高,秦好史郎,秦好史郎,游佩芸,米奇巴克,2017-05-01,106.05,翻譯,身體動作,9789866215582,250
109/110,0~3歲,,好忙的鳥兒,露西．卡森,露西．卡森,李紫蓉,,2017-05-01,106-05,翻譯,"語言溝通,認知探索,身體動作,美感",9789577626127,320
109,3~5歲,,箱子！箱子,珍．尤蘭,克里斯．席班,劉清彥,,2017-04-01,106-04,翻譯,認知探索,9789864001705,300
110,3~5歲,,你為什麼不開花？,凱特琳娜．瑪庫洛娃,凱特琳娜．瑪庫洛娃,柯倩華,,2017-04-01,106-04,翻譯,認知探索,9789862743263,
108/109,3~5歲,,小白,郭乃文,周見信,,,2017-04-01,106-04,本土,社會情緒,9789861615547,250
108/109/110/111,3~5歲,是,小水窪,任惠元,任惠元,黃筱茵,遠流出版,2017-04-01,106.04,翻譯,社會情緒、認知探索、美感,9789573279723,280
106,3~5歲,,我想變成綠色的,柳珠永,柳珠永,徐鳳擎,大穎文化,2017-03-01,106-03,翻譯,,9789869425001,290
108/110/111,3~5歲,是,車票去哪裡了？,劉旭恭,劉旭恭,,遠見天下文化(小天下),2017-03-01,106.03,本土,社會情緒、認知探索,9789864791804,300
110,0~3歲,,月亮先生，晚安,中嶋香織,中嶋香織,許婷婷,,2017-03-01,106-03,翻譯,生活自理,9789862116852,
110,0~3歲,,啊！,林美琴,黃郁軒,,,2017-03-01,106-03,本土,認知探索,9789862116906,
108/109,0~3歲,,我的水果寶寶,陳麗雅,陳麗雅,,,2017-03-01,106-03,本土,認知探索,9789862116937,280
106,3~5歲,,黑面琵鷺來過冬,王徵吉,王秋香,,,2017-03-01,106-03,本土,,9789861615493,280
111,0~3歲,,1234，動動體操,李紫蓉、林世仁、蘇珊,林小杯,,信誼基金,2017-02-01,106.02,本土,身體動作、語言溝通、健康與安全,9789861615486,280
109/111,3~5歲,,為了特別的你,許育榮,許育榮,,典藏藝術家庭(小典藏),2017-02-01,106.02,本土,社會情緒、語言溝通,9789869406017,280
106,3~5歲,,大藝術家巴布,瑪莉安‧杜莎 (Marion Deuchars),瑪莉安‧杜莎 (Marion Deuchars),柯倩華,,2017-02-01,106-02,翻譯,,9789571462684,329
107,0~3歲,,乖乖溜滑梯,陳致元,陳致元,,親子天下,2017-01-01,106,本土,,9789869453158,280
107,3~5歲,,騎著恐龍去上學（新版）,劉思源,林小杯,,步步,2017-01-01,106,本土,,9789869433709,320
109,3~5歲,,十二生肖的故事,賴馬,賴馬,,親子天下,2017-01-01,106-01,翻譯,認知探索,9789869421508,360
108,3~5歲,,搭便車,貓小小,貓小小,貓魚,巴巴文化,2017-01-01,106-04,本土,,9789869300797,280
107,0~3歲,,動手玩童話--三隻小豬,GWE,GWE,高竹馨,禾流文創,2017-01-01,106,翻譯,,9789869369961,380
107,0~3歲,,小熊坐椅子,雪莉‧派倫托,大衛‧沃克,張淑瓊,親子天下,2017-01-01,106,翻譯,,9789869371971,280
109,3~5歲,,你在媽媽肚子裡的時候．．．．．．,金槿熙,金槿熙,魏嘉儀,大穎文化,2017-01-01,106-01,翻譯,"社會情緒,美感",9789869375238,290
108,0~3歲,,請來我家玩,崔麗君,崔麗君,,小典藏,2017-01-01,106-11,本土,,9789869535427,320
108,3~5歲,,下眼淚雨的一天,盧貞穎,盧貞穎,,小典藏,2017-01-01,106-01,本土,,9789869478182,320
108,3~5歲,,好餓好餓好餓,劉思源,南君,,巴巴文化,2017-01-01,106-11,本土,,9789869520515,280
106,3~5歲,,跟我說晚安,茱莉亞•唐諾森,蕾貝卡•寇柏,艾可,,2017-01-01,106-01,翻譯,,9789865730598,299
108,0~3歲,,誰來躲貓貓,茱莉亞•唐諾森,蕾貝卡•寇柏,艾可,,2017-01-01,106-02,翻譯,,9789865730604,299
107,3~5歲,,我本來就很愛你啊！,喬里．約翰,班傑．戴維斯,李紫蓉,,2017-01-01,106,翻譯,,9789864792511,300
107,0~3歲,,寶寶翻翻書：蓋被被乖乖睡,新井洋行,新井洋行,張桂娥,,2017-01-01,106,翻譯,,9789864792634,300
107,0~3歲,,笑咪咪情緒變變轉盤書,金秀姬,Mickey Bean,徐鳳擎,,2017-01-01,106,翻譯,,9789864292479,450
108,0~3歲,,我喜歡書,安東尼．布朗,安東尼．布朗,麥維,,2017-01-01,106-11,翻譯,,9789864401659,250
110,3~5歲,,史賓奇生悶氣,威廉．史塔克,威廉．史塔克,劉清彥,,2017-01-01,106-01,翻譯,"社會情緒,語言溝通",9789864001552,
107,3~5歲,,晾衣服的日子,潔西莎．貝格利,潔西莎．貝格利,黃筱茵,,2017-01-01,106,翻譯,,9789864001620,270
108,3~5歲,,天亮之前,喬艾絲．席曼,貝絲・科隆斯,宋珮,,2017-01-01,106-12,翻譯,,9789864001811,280
108,3~5歲,,野鳥食堂,劉伯樂,劉伯樂,,,2017-01-01,106-12,翻譯,,9789862743621,280
108,3~5歲,,藍色小洋裝,張又然,張又然,,,2017-01-01,106-06,本土,,9789862743355,399
107,0~3歲,,一起去散步,五味太郎,五味太郎,莫凡,,2017-01-01,106,翻譯,,9789862743140,430
107,3~5歲,,運輸總動員,鎌田步,鎌田步,黃惠綺,,2017-01-01,106,翻譯,,9789862116579,290
108,3~5歲,,放屁，噗嘶！,村上八千世,瀨邊雅之,黃郁婷,,2017-01-01,106-02,翻譯,,9789862116838,280
107,0~3歲,,相親又相愛,佐古百美,佐古百美,許婷婷,,2017-01-01,106,翻譯,,9789862116869,270
107,0~3歲,,拜拜，我要出門囉!,宮西達也,宮西達也,陳瀅如,,2017-01-01,106,翻譯,,9789862117316,280
110,0~3歲,,我愛洗澡嚕啦啦,沙永玲,沙永玲,陳美燕,,2017-01-01,106-01,本土,生活自理,9789862117385,
107/111,0~3歲,,猩猩爹地,三浦太郎,三浦太郎,劉康儀,小魯文化,2017-01-01,106.08,翻譯,身體動作、社會情緒,9789862117392,290
106,3~5歲,,誰在微笑?,米津祐介,米津祐介,,,2017-01-01,106-01,翻譯,,9789861897356,280
108/109/111,3~5歲,是,誰要來喝下午茶？,葉曼玲,葉曼玲,,信誼基金,2017-01-01,106.04,本土,美感、社會情緒、語言溝通,9789861615554,280
107/108,0~3歲,,父子開車,揚．巴特利克,J．M 布隆,林蔚昀,,2017-01-01,106-08,翻譯,,9789577625946,280
107/108/111,3~5歲,是,點點玩聲音,赫威．托雷,赫威．托雷,周婉湘,上誼文化,2017-01-01,106.04,翻譯,身體動作、認知探索、語言溝通,9789577626110,300
108,3~5歲,,小天空,葛西新平,伊勢英子,林真美,,2017-01-01,106-12,翻譯,,9789573281740,300
106,3~5歲,,妮妮不見了,安妮塔．羅北兒,安妮塔．羅北兒,宋珮,步步,2016-12-01,105-12,翻譯,,9789869343879,300
106,3~5歲,,藍尼和露西,菲立普．史戴,艾琳． 史戴,宋珮,,2016-12-01,105-12,翻譯,,9789865876340,350
106/108/109/110,3~5歲,,外公的大衣,吉姆‧艾利斯沃斯,芭芭拉‧麥克林托克,柯倩華,,2016-12-01,105-12,翻譯,"社會情緒,語言溝通,認知探索",9789865730673,280
106,3~5歲,,夏天,曹文軒,郁蓉,,,2016-12-01,105-12,翻譯,,9789864271153,290
106,3~5歲,,誰是大壞蛋？,保利(Lorenz Pauli),莎樂爾(Kathrin Schärer),劉孟穎,,2016-12-01,105-12,翻譯,,9789864271191,270
110,3~5歲,,年糕去澡堂,苅田澄子,植垣步子,米雅,,2016-12-01,105-12,翻譯,認知探索,9789864001514,
110,3~5歲,,小蠶豆的新床,中屋美和,中屋美和,米雅,,2016-12-01,105-12,翻譯,"社會情緒,認知探索,生活自理",9789862743010,
109,3~5歲,,小小的大冒險,周見信,周見信,,步步出版,2016-11-01,105-11,翻譯,"社會情緒,語言溝通,生活自理,健康與安全",9789869343855,300
106,3~5歲,,今天萬歲!,布萊恩萬,布萊恩萬,張政婷,,2016-11-01,105-11,翻譯,,9789861897363,280
106,3~5歲,,來問我呀,伯納．韋伯,蘇西．李,黃迺毓,,2016-11-01,105-11,翻譯,,9789577626059,280
106/109,3~5歲,,動物和我,林良,趙國宗,,,2016-10-01,105-10,本土,"語言溝通,認知探索,美感",9789864790906,300
106/109,3~5歲,,屋頂上的貓,羅傑‧梅德,羅傑‧梅德,吳敏蘭,步步出版,2016-09-01,105-09,翻譯,"社會情緒,美感",9789869343800,280
106,3~5歲,,貝拉的生氣天,蕾貝卡‧派特森,蕾貝卡‧派特森,黃筱茵,,2016-09-01,105-09,翻譯,,9789866215513,280
109/110,3~5歲,,杯杯英雄,蔡兆倫,蔡兆倫,,,2016-09-01,105-09,本土,社會情緒,9789864001064,320
110,3~5歲,,海的另一頭,五味太郎,五味太郎,游珮芸,,2016-08-01,105-08,翻譯,認知探索,9789866215476,
106,3~5歲,,菲菲真的很受傷,莫莉‧卞,莫莉‧卞,黃筱茵,,2016-08-01,105-08,翻譯,,9789865664237,270
106/107/108,0~3歲,,林桃奶奶的桃子樹,湯姆牛,湯姆牛,,,2016-08-01,105-08,本土,,9789864790340,320
106/108/109,3~5歲,,他們都看見一隻貓,布蘭登．溫佐,布蘭登．溫佐,宋珮,,2016-08-01,105-08,翻譯,社會情緒,9789864001194,320
107/108/110,3~5歲,,一模一樣，一模一 樣!,苅田澄子,土田伸子,黃惠綺,,2016-08-01,105-08,翻譯,"社會情緒,語言溝通",9789862116340,270
106,3~5歲,,想哭的時候,克里斯多福．希拉斯．尼爾,克里斯多福．希拉斯．尼爾,李紫蓉,,2016-08-01,105-08,翻譯,,9789577625922,300
106/107/109/110,0~3歲,,貓頭鷹蝙蝠,瑪麗路易絲．菲茲派翠克,瑪麗路易絲．菲茲派翠克,,,2016-08-01,105-08,翻譯,社會情緒,9789577625953,280
109,0~3歲,,跳著去噗噗囉，我的小寶貝!,莎莉．里歐瓊斯,安妮塔．婕朗,張水金,,2016-08-01,105-08,翻譯,生活自理,9789577625960,300
107/108,0~3歲,,爸爸山,曹益欣,曹益欣,,,2016-08-01,105-08,本土,,9789570847772,250
106,0~3歲,,沉睡中的種子,黛安娜・哈茨・阿斯頓,希薇亞・隆,張東君,,2016-07-01,105-07,翻譯,,9789865730482,320
106,3~5歲,,皮可大冒險： 想像不到的朋友,丹．桑塔,丹．桑塔,柯倩華,,2016-07-01,105-07,翻譯,,9789864790241,320
107/109,0~3歲,,小洋蔥大作戰,瀨名惠子,瀨名惠子,游珮芸,,2016-07-01,105-07,翻譯,認知探索,9789577625908,280
109,0~3歲,,丹丹的褲子,岩村和朗,岩村和朗,黃惠綺,,2016-06-01,105-06,翻譯,認知探索,9789862742686,260
110,0~3歲,,丹丹的帽子,岩村和朗,岩村和朗,黃惠綺,,2016-06-01,105-06,翻譯,認知探索,9789862742693,
110,0~3歲,,丹丹的白熊弟弟,岩村和朗,岩村和朗,黃惠綺,,2016-06-01,105-06,翻譯,"認知探索,美感",9789862742723,
106/108/109,3~5歲,,路邊的小花,強亞諾羅森,席尼史密斯,,,2016-06-01,105-06,翻譯,美感,9789861896755,260
106,3~5歲,,我有理由,吉竹伸介,吉竹伸介,黃惠綺,親子天下,2016-05-01,105-05,翻譯,,9789869292092,300
106/107/109,0~3歲,,脫不下來啊!,吉竹伸介,吉竹伸介,許婷婷,,2016-05-01,105-05,翻譯,"認知探索,生活自理",9789863425762,250
106/109,3~5歲,,送給爸爸的小船,潔西莎．貝格利,潔西莎．貝格利,劉清彥,,2016-05-01,105-05,翻譯,社會情緒,9789864001163,270
106,3~5歲,,尿床天神,長谷川義史,長谷川義史,游珮芸,,2016-05-01,105-05,翻譯,,9789862742471,280
106,3~5歲,,小熊晚安曲,班傑明．蕭,班傑明．蕭,許肯馨,,2016-05-01,105-05,翻譯,,9789862116081,320
106/107/109,3~5歲,,市場街最後一站,馬特．德拉佩尼亞,克里斯汀．羅賓遜,宋珮,,2016-04-01,105-04,翻譯,"社會情緒,美感",9789863209812,300
106,0~3歲,,出門囉，出門囉！,木村裕一,瀨邊雅之,鄭明進,,2016-04-01,105-04,翻譯,,9789862742761,199
106,3~5歲,,巫婆阿妮和黑貓阿寶,韋樂莉．湯瑪士,柯奇．保羅,吳其鴻,,2016-04-01,105-04,翻譯,,9789862742648,320
106,3~5歲,,小熊奇兵,安東尼布朗,安東尼布朗,黃鈺瑜,,2016-04-01,105-04,翻譯,,9789861896557,280
106/109/110,3~5歲,,小桃妹,江明恭,江明恭,,,2016-04-01,105-04,本土,"社會情緒,美感,認知探索",9789861615387,250
110,3~5歲,,老鼠、鼴鼠挖番薯,藤本四郎,藤本四郎,鄧吉吉,,2016-04-01,105-04,翻譯,認知探索,9789577625885,
106,3~5歲,,有你有我,莉莉．拉洪潔,莉莉．拉洪潔,黃筱茵,,2016-04-01,105-04,翻譯,,9789571365930,240
106,3~5歲,,愛心樹,謝爾．希爾弗斯坦,謝爾．希爾弗斯坦,劉美欽,,2016-03-01,105-03,翻譯,,9789865730352,320
106/107/108,0~3歲,,花開了！,石川浩二,石川浩二,張玲玲,,2016-03-01,105-03,翻譯,,9789861896465,280
106/110,3~5歲,,小黃點大冒險！,赫威•托雷,赫威•托雷,周婉湘,,2016-03-01,105-03,翻譯,美感,9789577625861,300
106,3~5歲,,我是一棵櫻花樹,長谷川攝子 (Setsuko Hasegawa),矢間芳子(YoshikoYazama),張東君,,2016-03-01,105-03,翻譯,,9789573277941,270
106/108,0~3歲,,十個小朋友跑哪去？,卡洛(Amélie Callot),卡洛(Amélie Callot),劉孟穎,,2016-02-01,105-02,翻譯,,9789864270460,300
106,3~5歲,,如果你給老鼠吃餅乾,蘿拉．喬菲．努墨歐夫,蘿拉．喬菲．努墨歐夫,林良,,2016-02-01,105-02,翻譯,,9789863208730,320
106,0~3歲,,公主怎麼挖鼻屎？,李卓穎,李卓穎,,,2016-02-01,105-02,翻譯,,9789861615370,250
106/107,0~3歲,,山羊蛋糕店,木村裕一,木村裕一,倫子,,2016-02-01,105-02,翻譯,,9789577625847,260
106,3~5歲,,發現一頂帽子,雍．卡拉森,雍．卡拉森,李貞慧,親子天下,2016-01-01,105-01,翻譯,,9789869317917,320
107,0~3歲,,動手玩童話--小木偶皮諾丘,Tiago America,Tiago America,林幸萩,禾流 文創,2016-01-01,105,翻譯,,9789869369909,380
108,0~3歲,,鱷魚餓了,歐希里亞．伊給,歐希里亞．伊給,阿爾發工作室,阿爾發,2016-01-01,105-09,翻譯,,9789869006187,238
110,3~5歲,,貝蒂不想不想去睡覺,史帝夫．安東尼,史帝夫．安東尼,柯倩華,親子天下,2016-01-01,105-01,翻譯,社會情緒,9789869248662,
109,0~3歲,,早起的一天,賴馬,賴馬,,親子天下,2016-01-01,105-01,翻譯,社會情緒,9789869261470,360
106/108,0~3歲,,河馬波波屁股大,迪迪耶李維,馬克‧布塔方,謝蕙心,,2016-01-01,105-02,翻譯,,9789866215469,270
106/110,0~3歲,,大熊小椅子,莉茲．博伊德,莉茲．博伊德,郭妙芳,,2016-01-01,105-01,翻譯,認知探索,9789865876333,300
106,3~5歲,,洞裡頭有什麼東西？,蕾貝卡•寇柏,蕾貝卡•寇柏,艾可,,2016-01-01,105-01,翻譯,,9789865730260,280
107,3~5歲,,你看看你，把這裡弄得這麼亂！,劉旭恭,劉旭恭,,,2016-01-01,105,本土,,9789865730314,280
108,3~5歲,,靜悄悄的蛋,黛安娜・哈茨・阿斯頓,希薇亞・隆,張東君,,2016-01-01,105-07,翻譯,,9789865730390,320
107,0~3歲,,鱷魚阿本的家,豐田一彥,豐田一彥,高明美,,2016-01-01,105,翻譯,,9789864790029,260
107,0~3歲,,十隻腳趾頭,卡洛琳．珍．雀爾屈,卡洛琳．珍．雀爾屈,高明美,,2016-01-01,105,翻譯,,9789864790777,280
107,3~5歲,,小小孩最愛問百科書-為什麼呢?,Anne Royer,Charlie Pop、Marion Piffaretti、Christine Ponchon、Lucile Ahrweiller,王晶盈,,2016-01-01,105,翻譯,,9789864292431,450
107,3~5歲,,蜜蜂與我,艾莉森‧傑伊,艾莉森‧傑伊,,,2016-01-01,105,翻譯,,9789864271139,280
107,0~3歲,,我想當獅子,艾瑪‧卡莉蘇,艾瑪‧卡莉蘇,鄭榮珍,,2016-01-01,105,翻譯,,9789863380948,280
107,0~3歲,,刷牙號小火車，出發！嘟嘟——汽鏘汽鏘——,久保真知子,久保真知子,陳瀅如,,2016-01-01,105,翻譯,,9789862743041,220
108,0~3歲,,小鳥請唱歌,五味太郎,五味太郎,黃惠綺,,2016-01-01,105-09,翻譯,,9789862742945,220
107/108,0~3歲,,丹丹的手帕,岩村和朗,岩村和朗,黃惠綺,,2016-01-01,105-06,翻譯,,9789862742716,260
110,0~3歲,,誰輕？誰重？,秋山匡,秋山匡,蘇懿禎,,2016-01-01,105-01,翻譯,認知探索,9789862115800,
107,0~3歲,,小雞換聲音,佐藤和貴子,二俣英五郎,張玲玲,,2016-01-01,105,翻譯,,9789861897295,280
108,3~5歲,,一個部落的孩子,藍史密斯,藍史密斯,,,2016-01-01,105-06,翻譯,,9789861896748,280
107,0~3歲,,大家晚安!,克里斯霍頓,克里斯霍頓,賴云倩,,2016-01-01,105,翻譯,,9789861896632,320
107,3~5歲,,雲豹的屋頂,王春子,王春子,,,2016-01-01,105,本土,,9789573278825,320
107,3~5歲,,鴨子?兔子?：啟動想像、學習尊重的創意繪本,艾美．克蘿思．羅森朵,湯姆．利希騰赫,楊郁慧,,2016-01-01,105,翻譯,,9789573278870,280
106,0~3歲,,分享椅,香山美子,香山美子,邱瓊慧,,2015-12-01,104-12,翻譯,,9789863208457,280
106,3~5歲,,髒兮兮國王,嚴凱信,嚴凱信,,,2015-12-01,104-12,本土,,9789862115824,280
107/108,0~3歲,,花子小姐是誰呀？,古川拓,古川拓,陳靜怡,阿爾發,2015-11-01,104-11,翻譯,,9789869006163,230
105,3~5歲,,豬先生和他的小小好朋友,艾力克斯‧拉提蒙,艾力克斯‧拉提蒙,黃筱茵,,2015-11-01,104-11,翻譯,,9789866215445,280
105,3~5歲,,水藍色的圍巾,楠茂宣,松成真理子,李慧娟,,2015-11-01,104-11,翻譯,,9789864400263,280
105,0~3歲,,我的蔬菜寶寶,陳麗雅,陳麗雅,,,2015-11-01,104-11,本土,,9789862115855,280
106,3~5歲,,毛毛123：我一歲了系列套書 毛毛 123：開開,陳盈帆,陳盈帆,,,2015-11-01,104-11,本土,,9789570846348,350
108/109,0~3歲,,毛毛123：抱抱,陳盈帆,陳盈帆,,,2015-11-01,104-11,本土,社會情緒,9789570846362,350
106,3~5歲,,隨風飛揚的十片葉子,默勒(Anne Möller),默勒(Anne Möller),劉孟穎,,2015-09-01,104-09,翻譯,,9789864270187,250
105,3~5歲,,我是公車司機,草野滝,間瀨直方,黃惠綺,,2015-09-01,104-09,翻譯,,9789863380825,280
105/109,0~3歲,,可以說晚安了嗎？,喬里．約翰,班傑．戴維斯,李紫蓉,,2015-09-01,104-09,翻譯,社會情緒,9789863208167,280
105/109,3~5歲,,阿婆的燈籠樹,張秀毓,張秀毓,,,2015-09-01,104-09,本土,"社會情緒,認知探索,美感",9789862115633,280
106,0~3歲,,敲一敲、搖一搖，魔法樹！,克莉絲蒂．麥瑟森,克莉絲蒂．麥瑟森,李紫蓉,,2015-08-01,104-08,翻譯,,9789863207573,320
105/106,0~3歲,,蝴蝶,江國香織,松田奈那子,米雅,,2015-07-01,104-07,翻譯,,9789864000470,270
105,0~3歲,,小青和小蛙：好熱、好熱啊！,岩村和朗,岩村和朗,米雅,,2015-07-01,104-07,翻譯,,9789862742211,280
106,0~3歲,,偷偷看一下：夜晚,安納．米爾布倫,席夢娜．迪米特利,臺灣麥克編輯部,,2015-07-01,104-07,翻譯,,9789862036051,320
109,0~3歲,,我的一天,信誼編輯部,陳志賢,,,2015-07-01,104-07,本土,語言溝通,9789861615196,180
105,3~5歲,,地瓜發芽了,林柏廷,林柏廷,,,2015-07-01,104-07,本土,,9789570845952,250
106,0~3歲,,不可思議的吃書男孩,奧立佛‧傑法(Oliver Jeffers),奧立佛‧傑法(Oliver Jeffers),柯倩華,,2015-07-01,104-07,翻譯,,9789571460239,350
